source,target,weight,start,end
E001,E003,1,1887-03-01,1887-03-01
E001,E095,1,1887-03-01,1887-03-01
E001,E128,1,1887-03-01,1887-03-01
E002,E006,1,1887-05-31,1887-05-31
E002,E007,1,1887-05-31,1887-05-31
E002,E008,1,1887-05-31,1887-05-31
E002,E009,1,1887-05-31,1887-05-31
E002,E010,1,1887-05-31,1887-05-31
E002,E015,1,1887-05-31,1887-05-31
E002,E016,1,1887-05-31,1887-05-31
E002,E017,1,1887-05-31,1887-05-31
E002,E018,1,1887-05-31,1887-05-31
E002,E019,1,1887-05-31,1887-05-31
E002,E025,1,1887-05-31,1887-05-31
E002,E027,1,1887-05-31,1887-05-31
E002,E031,1,1887-05-31,1887-05-31
E002,E032,1,1887-05-31,1887-05-31
E002,E033,1,1887-05-31,1887-05-31
E002,E034,1,1887-05-31,1887-05-31
E002,E039,1,1887-05-31,1887-05-31
E002,E040,1,1887-05-31,1887-05-31
E002,E041,1,1887-05-31,1887-05-31
E002,E042,1,1887-05-31,1887-05-31
E002,E043,1,1887-05-31,1887-05-31
E002,E052,1,1887-05-31,1887-05-31
E002,E053,1,1887-05-31,1887-05-31
E002,E054,1,1887-05-31,1887-05-31
E002,E055,1,1887-05-31,1887-05-31
E002,E061,1,1887-05-31,1887-05-31
E002,E062,1,1887-05-31,1887-05-31
E002,E063,1,1887-05-31,1887-05-31
E002,E064,1,1887-05-31,1887-05-31
E002,E065,1,1887-05-31,1887-05-31
E002,E074,1,1887-05-31,1887-05-31
E002,E075,1,1887-05-31,1887-05-31
E002,E076,1,1887-05-31,1887-05-31
E002,E081,1,1887-05-31,1887-05-31
E002,E082,1,1887-05-31,1887-05-31
E002,E085,1,1887-05-31,1887-05-31
E002,E096,1,1887-05-31,1887-05-31
E002,E097,1,1887-05-31,1887-05-31
E002,E098,1,1887-05-31,1887-05-31
E002,E099,1,1887-05-31,1887-05-31
E002,E100,1,1887-05-31,1887-05-31
E002,E101,1,1887-05-31,1887-05-31
E002,E102,1,1887-05-31,1887-05-31
E002,E110,1,1887-05-31,1887-05-31
E002,E111,1,1887-05-31,1887-05-31
E002,E112,1,1887-05-31,1887-05-31
E002,E113,1,1887-05-31,1887-05-31
E002,E116,1,1887-05-31,1887-05-31
E002,E117,1,1887-05-31,1887-05-31
E002,E124,1,1887-05-31,1887-05-31
E002,E125,1,1887-05-31,1887-05-31
E002,E126,1,1887-05-31,1887-05-31
E002,E137,1,1887-05-31,1887-05-31
E002,E138,1,1887-05-31,1887-05-31
E002,E139,1,1887-05-31,1887-05-31
E002,E140,1,1887-05-31,1887-05-31
E002,E147,1,1887-05-31,1887-05-31
E002,E148,1,1887-05-31,1887-05-31
E003,E095,1,1887-03-01,1887-03-01
E003,E128,1,1887-03-01,1887-03-01
E004,E012,1,1887-01-28,1887-01-28
E004,E019,1,1887-01-28,1887-01-28
E004,E037,1,1887-01-28,1887-01-28
E004,E083,1,1887-01-28,1887-01-28
E004,E088,1,1887-01-28,1887-01-28
E004,E089,1,1887-01-28,1887-01-28
E004,E090,1,1887-01-28,1887-01-28
E004,E091,1,1887-01-28,1887-01-28
E004,E118,1,1887-01-28,1887-01-28
E005,E012,2,1887-05-10,1887-05-21
E005,E014,1,1887-05-10,1887-05-10
E005,E025,2,1887-05-10,1887-05-21
E005,E057,1,1887-05-10,1887-05-10
E005,E058,1,1887-05-10,1887-05-10
E005,E059,1,1887-05-10,1887-05-10
E005,E060,1,1887-05-21,1887-05-21
E005,E073,1,1887-05-10,1887-05-10
E005,E077,1,1887-01-24,1887-01-24
E005,E078,1,1887-05-21,1887-05-21
E005,E081,1,1887-05-08,1887-05-08
E005,E091,1,1887-05-10,1887-05-10
E005,E105,1,1887-01-24,1887-01-24
E005,E109,1,1887-05-21,1887-05-21
E005,E130,2,1887-05-10,1887-05-21
E005,E133,1,1887-05-08,1887-05-08
E005,E134,1,1887-05-10,1887-05-10
E005,E135,1,1887-05-10,1887-05-10
E005,E136,1,1887-05-10,1887-05-10
E005,E142,1,1887-05-08,1887-05-08
E005,E146,1,1887-05-10,1887-05-10
E006,E007,1,1887-05-31,1887-05-31
E006,E008,1,1887-05-31,1887-05-31
E006,E009,1,1887-05-31,1887-05-31
E006,E010,1,1887-05-31,1887-05-31
E006,E015,1,1887-05-31,1887-05-31
E006,E016,1,1887-05-31,1887-05-31
E006,E017,1,1887-05-31,1887-05-31
E006,E018,1,1887-05-31,1887-05-31
E006,E019,1,1887-05-31,1887-05-31
E006,E025,1,1887-05-31,1887-05-31
E006,E027,1,1887-05-31,1887-05-31
E006,E031,1,1887-05-31,1887-05-31
E006,E032,1,1887-05-31,1887-05-31
E006,E033,1,1887-05-31,1887-05-31
E006,E034,1,1887-05-31,1887-05-31
E006,E039,1,1887-05-31,1887-05-31
E006,E040,1,1887-05-31,1887-05-31
E006,E041,1,1887-05-31,1887-05-31
E006,E042,1,1887-05-31,1887-05-31
E006,E043,1,1887-05-31,1887-05-31
E006,E052,1,1887-05-31,1887-05-31
E006,E053,1,1887-05-31,1887-05-31
E006,E054,1,1887-05-31,1887-05-31
E006,E055,1,1887-05-31,1887-05-31
E006,E061,1,1887-05-31,1887-05-31
E006,E062,1,1887-05-31,1887-05-31
E006,E063,1,1887-05-31,1887-05-31
E006,E064,1,1887-05-31,1887-05-31
E006,E065,1,1887-05-31,1887-05-31
E006,E074,1,1887-05-31,1887-05-31
E006,E075,1,1887-05-31,1887-05-31
E006,E076,1,1887-05-31,1887-05-31
E006,E081,1,1887-05-31,1887-05-31
E006,E082,1,1887-05-31,1887-05-31
E006,E085,1,1887-05-31,1887-05-31
E006,E096,1,1887-05-31,1887-05-31
E006,E097,1,1887-05-31,1887-05-31
E006,E098,1,1887-05-31,1887-05-31
E006,E099,1,1887-05-31,1887-05-31
E006,E100,1,1887-05-31,1887-05-31
E006,E101,1,1887-05-31,1887-05-31
E006,E102,1,1887-05-31,1887-05-31
E006,E110,1,1887-05-31,1887-05-31
E006,E111,1,1887-05-31,1887-05-31
E006,E112,1,1887-05-31,1887-05-31
E006,E113,1,1887-05-31,1887-05-31
E006,E116,1,1887-05-31,1887-05-31
E006,E117,1,1887-05-31,1887-05-31
E006,E124,1,1887-05-31,1887-05-31
E006,E125,1,1887-05-31,1887-05-31
E006,E126,1,1887-05-31,1887-05-31
E006,E137,1,1887-05-31,1887-05-31
E006,E138,1,1887-05-31,1887-05-31
E006,E139,1,1887-05-31,1887-05-31
E006,E140,1,1887-05-31,1887-05-31
E006,E147,1,1887-05-31,1887-05-31
E006,E148,1,1887-05-31,1887-05-31
E007,E008,1,1887-05-31,1887-05-31
E007,E009,1,1887-05-31,1887-05-31
E007,E010,1,1887-05-31,1887-05-31
E007,E015,1,1887-05-31,1887-05-31
E007,E016,1,1887-05-31,1887-05-31
E007,E017,1,1887-05-31,1887-05-31
E007,E018,1,1887-05-31,1887-05-31
E007,E019,1,1887-05-31,1887-05-31
E007,E025,1,1887-05-31,1887-05-31
E007,E027,1,1887-05-31,1887-05-31
E007,E031,1,1887-05-31,1887-05-31
E007,E032,1,1887-05-31,1887-05-31
E007,E033,1,1887-05-31,1887-05-31
E007,E034,1,1887-05-31,1887-05-31
E007,E039,1,1887-05-31,1887-05-31
E007,E040,1,1887-05-31,1887-05-31
E007,E041,1,1887-05-31,1887-05-31
E007,E042,1,1887-05-31,1887-05-31
E007,E043,1,1887-05-31,1887-05-31
E007,E052,1,1887-05-31,1887-05-31
E007,E053,1,1887-05-31,1887-05-31
E007,E054,1,1887-05-31,1887-05-31
E007,E055,1,1887-05-31,1887-05-31
E007,E061,1,1887-05-31,1887-05-31
E007,E062,1,1887-05-31,1887-05-31
E007,E063,1,1887-05-31,1887-05-31
E007,E064,1,1887-05-31,1887-05-31
E007,E065,1,1887-05-31,1887-05-31
E007,E074,1,1887-05-31,1887-05-31
E007,E075,1,1887-05-31,1887-05-31
E007,E076,1,1887-05-31,1887-05-31
E007,E081,1,1887-05-31,1887-05-31
E007,E082,1,1887-05-31,1887-05-31
E007,E085,1,1887-05-31,1887-05-31
E007,E096,1,1887-05-31,1887-05-31
E007,E097,1,1887-05-31,1887-05-31
E007,E098,1,1887-05-31,1887-05-31
E007,E099,1,1887-05-31,1887-05-31
E007,E100,1,1887-05-31,1887-05-31
E007,E101,1,1887-05-31,1887-05-31
E007,E102,1,1887-05-31,1887-05-31
E007,E110,1,1887-05-31,1887-05-31
E007,E111,1,1887-05-31,1887-05-31
E007,E112,1,1887-05-31,1887-05-31
