Source,Target,Type,Id,Label,timeset,Weight,Source_Type,Target_Type
E001,E003,Undirected,0,,<[-2614118400000.0]>,1,,
E001,E095,Undirected,1,,<[-2614118400000.0]>,1,,
E001,E128,Undirected,2,,<[-2614118400000.0]>,1,,
E002,E006,Undirected,3,,<[-2606256000000.0]>,1,,
E002,E007,Undirected,4,,<[-2606256000000.0]>,1,,
E002,E008,Undirected,5,,<[-2606256000000.0]>,1,,
E002,E009,Undirected,6,,<[-2606256000000.0]>,1,,
E002,E010,Undirected,7,,<[-2606256000000.0]>,1,,
E002,E015,Undirected,8,,<[-2606256000000.0]>,1,,
E002,E016,Undirected,9,,<[-2606256000000.0]>,1,,
E002,E017,Undirected,10,,<[-2606256000000.0]>,1,,
E002,E018,Undirected,11,,<[-2606256000000.0]>,1,,
E002,E019,Undirected,12,,<[-2606256000000.0]>,1,,
E002,E025,Undirected,13,,<[-2606256000000.0]>,1,,
E002,E027,Undirected,14,,<[-2606256000000.0]>,1,,
E002,E031,Undirected,15,,<[-2606256000000.0]>,1,,
E002,E032,Undirected,16,,<[-2606256000000.0]>,1,,
E002,E033,Undirected,17,,<[-2606256000000.0]>,1,,
E002,E034,Undirected,18,,<[-2606256000000.0]>,1,,
E002,E039,Undirected,19,,<[-2606256000000.0]>,1,,
E002,E040,Undirected,20,,<[-2606256000000.0]>,1,,
E002,E041,Undirected,21,,<[-2606256000000.0]>,1,,
E002,E042,Undirected,22,,<[-2606256000000.0]>,1,,
E002,E043,Undirected,23,,<[-2606256000000.0]>,1,,
E002,E052,Undirected,24,,<[-2606256000000.0]>,1,,
E002,E053,Undirected,25,,<[-2606256000000.0]>,1,,
E002,E054,Undirected,26,,<[-2606256000000.0]>,1,,
E002,E055,Undirected,27,,<[-2606256000000.0]>,1,,
E002,E061,Undirected,28,,<[-2606256000000.0]>,1,,
E002,E062,Undirected,29,,<[-2606256000000.0]>,1,,
E002,E063,Undirected,30,,<[-2606256000000.0]>,1,,
E002,E064,Undirected,31,,<[-2606256000000.0]>,1,,
E002,E065,Undirected,32,,<[-2606256000000.0]>,1,,
E002,E074,Undirected,33,,<[-2606256000000.0]>,1,,
E002,E075,Undirected,34,,<[-2606256000000.0]>,1,,
E002,E076,Undirected,35,,<[-2606256000000.0]>,1,,
E002,E081,Undirected,36,,<[-2606256000000.0]>,1,,
E002,E082,Undirected,37,,<[-2606256000000.0]>,1,,
E002,E085,Undirected,38,,<[-2606256000000.0]>,1,,
E002,E096,Undirected,39,,<[-2606256000000.0]>,1,,
E002,E097,Undirected,40,,<[-2606256000000.0]>,1,,
E002,E098,Undirected,41,,<[-2606256000000.0]>,1,,
E002,E099,Undirected,42,,<[-2606256000000.0]>,1,,
E002,E100,Undirected,43,,<[-2606256000000.0]>,1,,
E002,E101,Undirected,44,,<[-2606256000000.0]>,1,,
E002,E102,Undirected,45,,<[-2606256000000.0]>,1,,
E002,E110,Undirected,46,,<[-2606256000000.0]>,1,,
E002,E111,Undirected,47,,<[-2606256000000.0]>,1,,
E002,E112,Undirected,48,,<[-2606256000000.0]>,1,,
E002,E113,Undirected,49,,<[-2606256000000.0]>,1,,
E002,E116,Undirected,50,,<[-2606256000000.0]>,1,,
E002,E117,Undirected,51,,<[-2606256000000.0]>,1,,
E002,E124,Undirected,52,,<[-2606256000000.0]>,1,,
E002,E125,Undirected,53,,<[-2606256000000.0]>,1,,
E002,E126,Undirected,54,,<[-2606256000000.0]>,1,,
E002,E137,Undirected,55,,<[-2606256000000.0]>,1,,
E002,E138,Undirected,56,,<[-2606256000000.0]>,1,,
E002,E139,Undirected,57,,<[-2606256000000.0]>,1,,
E002,E140,Undirected,58,,<[-2606256000000.0]>,1,,
E002,E147,Undirected,59,,<[-2606256000000.0]>,1,,
E002,E148,Undirected,60,,<[-2606256000000.0]>,1,,
E003,E095,Undirected,61,,<[-2614118400000.0]>,1,,
E003,E128,Undirected,62,,<[-2614118400000.0]>,1,,
E004,E012,Undirected,63,,<[-2616883200000.0]>,1,,
E004,E019,Undirected,64,,<[-2616883200000.0]>,1,,
E004,E037,Undirected,65,,<[-2616883200000.0]>,1,,
E004,E083,Undirected,66,,<[-2616883200000.0]>,1,,
E004,E088,Undirected,67,,<[-2616883200000.0]>,1,,
E004,E089,Undirected,68,,<[-2616883200000.0]>,1,,
E004,E090,Undirected,69,,<[-2616883200000.0]>,1,,
E004,E091,Undirected,70,,<[-2616883200000.0]>,1,,
E004,E118,Undirected,71,,<[-2616883200000.0]>,1,,
E005,E012,Undirected,72,,<[-2608070400000.0]>,2,,
E005,E014,Undirected,73,,<[-2608070400000.0]>,1,,
E005,E025,Undirected,74,,<[-2608070400000.0]>,2,,
E005,E057,Undirected,75,,<[-2608070400000.0]>,1,,
E005,E058,Undirected,76,,<[-2608070400000.0]>,1,,
E005,E059,Undirected,77,,<[-2608070400000.0]>,1,,
E005,E060,Undirected,78,,<[-2607120000000.0]>,1,,
