canonical_name,original_name,label,count
the Railway Station for Bedrachien,the Railway Station for Bedrachien,ORG,1
"East Greenwich R. I.
H. A. Wagoner","East Greenwich R. I.
H. A. Wagoner",GPE,1
Donkeys the Ghezireh Palace and,Donkeys the Ghezireh Palace and,ORG,1
Vitriori Victoria - Colonna,Vitriori Victoria - Colonna,PERSON,1
"Piazza
Address at Florence","Piazza
Address at Florence",ORG,1
St. Johns Wood Park London,St. Johns Wood Park London,ORG,1
Congdon St Providence R.I.,Congdon St Providence R.I.,ORG,1
"Stratford Road
Bermingham","Stratford Road
Bermingham",PERSON,1
Mrs M W Rindge Perkins St,Mrs M W Rindge Perkins St,PERSON,1
the Land of the Pharaohs,the Land of the Pharaohs,ORG,1
Northwold Bowdon England,Northwold Bowdon England,ORG,1
Notwithstanding English,Notwithstanding English,ORG,1
the Alexandrian Library,the Alexandrian Library,ORG,1
the City of Rome Helen,the City of Rome Helen,GPE,1
the Howling Dervishers,the Howling Dervishers,ORG,1
"Ludmilla Assing -
Alas","Ludmilla Assing -
Alas",PERSON,1
New Broadstreet London,New Broadstreet London,GPE,1
Heard Spurgeon - Dined,Heard Spurgeon - Dined,PERSON,1
Shackleton Clondarrach,Shackleton Clondarrach,ORG,1
mt Vernon Street Phila,mt Vernon Street Phila,ORG,1
Centennial Exposition,Centennial Exposition,ORG,1
the Church of England,the Church of England,ORG,2
Premaere Aroudessmont,Premaere Aroudessmont,ORG,1
Charles Lenore Remond,Charles Lenore Remond,PERSON,1
The Rev J.C. Fletcher,The Rev J.C. Fletcher,ORG,1
the Island of Creet -,the Island of Creet -,ORG,1
the Shores of America,the Shores of America,ORG,1
the Hotel De la Poste,the Hotel De la Poste,ORG,1
Charlotte St. Bedford,Charlotte St. Bedford,PERSON,1
Washington St. Boston,Washington St. Boston,ORG,1
W. Franklin St. Balti,W. Franklin St. Balti,PERSON,1
the Hotel Britanique,the Hotel Britanique,ORG,1
"the Rev Mr
Evering -","the Rev Mr
Evering -",ORG,1
the Capuchin Convent,the Capuchin Convent,ORG,1
Mrs Tucel Taccillo -,Mrs Tucel Taccillo -,PERSON,1
Elizabeth Emily Webb,Elizabeth Emily Webb,PERSON,1
H. Weaver N. Eastern,H. Weaver N. Eastern,PERSON,1
the Villa Nationale,the Villa Nationale,ORG,1
Ostritch farm - and,Ostritch farm - and,ORG,1
Harvey Missionaries,Harvey Missionaries,ORG,1
"Thomas
Edward Sears","Thomas
Edward Sears",PERSON,1
Gainesville Florida,Gainesville Florida,PERSON,1
"Hotel
Du Luxomborg","Hotel
Du Luxomborg",ORG,1
Cheltenham England,Cheltenham England,ORG,1
the Bourbon Palace,the Bourbon Palace,ORG,1
Moses and Pharoahs,Moses and Pharoahs,ORG,1
the City of Athens,the City of Athens,GPE,1
Mrs Isabella Mills,Mrs Isabella Mills,PERSON,1
Kensington Terrace,Kensington Terrace,ORG,1
"Dublin
Pitch & Par","Dublin
Pitch & Par",ORG,1
Robert Folger Esqr,Robert Folger Esqr,PERSON,1
Rev Henry Wayland,Rev Henry Wayland,PERSON,2
Avenue Victorea -,Avenue Victorea -,PERSON,1
Mrs E.Q. Putnam -,Mrs E.Q. Putnam -,PERSON,1
the Romish Church,the Romish Church,ORG,1
J.C. Fletcher,Rev J.C. Fletcher,ORG,1
Temple of Neptune,Temple of Neptune,ORG,1
mrs Harvey - both,mrs Harvey - both,PERSON,1
the Gehezeh Gizeh,the Gehezeh Gizeh,ORG,1
"the Coptic
Church","the Coptic
Church",ORG,1
Mohameden College,Mohameden College,ORG,1
"Mrs John
Biddulph","Mrs John
Biddulph",PERSON,1
Victoria Woodhull,Victoria Woodhull,PERSON,1
Benjamin Franklin,Benjamin Franklin,PERSON,1
Mrs Dora Delany -,Mrs Dora Delany -,PERSON,1
Arther John Naish,Arther John Naish,PERSON,1
Lucas 7 Charlotte,Lucas 7 Charlotte,ORG,1
John Webb Ardkill,John Webb Ardkill,PERSON,1
The City of Rome,The City of Rome,GPE,1
the City of Rome,the City of Rome,GPE,2
the Eternal City,the Eternal City,GPE,1
Sidney Australia,Sidney Australia,ORG,1
British Soldiers,British Soldiers,ORG,1
Ewing Missionary,Ewing Missionary,ORG,1
Rechard Hildreth,Rechard Hildreth,PERSON,1
Rechard Hildreth,Richard Hildreth,PERSON,1
E. B. Browning -,E. B. Browning -,PERSON,1
Thomas Jefferson,Thomas Jefferson,PERSON,1
Theodore Stanton,Theodore Stanton,PERSON,1
Northwold Bowden,Northwold Bowden,PERSON,1
David Richardson,David Richardson,PERSON,1
Mrs Susanna Webb,Mrs Susanna Webb,PERSON,1
Alexander Wayman,Alexander Wayman,PERSON,1
Mrs Hannah Davis,Mrs Hannah Davis,PERSON,1
Matthew Anderson,Matthew Anderson,PERSON,1
George Bllelock,George Bllelock,PERSON,1
Abraham Lincoln,Abraham Lincoln,PERSON,1
Pembrook Chapel,Pembrook Chapel,ORG,1
Galion Gallileo,Galion Gallileo,PERSON,1
Maritcha Remond,Maritcha Remond,PERSON,1
the U.P. Church,the U.P. Church,ORG,1
Robert Ingorsol,Robert Ingorsol,PERSON,1
Miss Richardson,Miss Richardson,PERSON,1
Hotel Bonnard -,Hotel Bonnard -,PERSON,1
Theodore Parker,Theodore Parker,PERSON,2
Ludmilla Ashing,Ludmilla Ashing,PERSON,1
Arthur Griffith,Arthur Griffith,PERSON,1
"Arkill, Killing","Arkill, Killing",ORG,1
J.H. Lewis Esqr,J.H. Lewis Esqr,PERSON,1
Mounte Christo,Mounte Christo,PERSON,1
Pestum Paestum,Pestum Paestum,ORG,1
Palazza Moroni,Palazza Moroni,PERSON,1
Mrs Davis - We,Mrs Davis - We,PERSON,1
J.B. Kinsman -,J.B. Kinsman -,PERSON,1
Socratees - On,Socratees - On,ORG,1
Calidian Hotel,Calidian Hotel,PERSON,1
"Rue
Bean Sjour","Rue
Bean Sjour",PERSON,1
Mrs John Mills,Mrs John Mills,PERSON,1
smith Brothers,smith Brothers,ORG,1
Mrs Wilhelmina,Mrs Wilhelmina,PERSON,1
Dublin Ireland,Dublin Ireland,PERSON,1
Mrs Joseph Lee,Mrs Joseph Lee,PERSON,1
Rev Henry Wayland,Henry Wayland,PERSON,1
Wrexham Wales,Wrexham Wales,PERSON,1
"Henry
Wagoner","Henry
Wagoner",PERSON,1
Feudal Castle,Feudal Castle,PERSON,1
Hotel Beauvan,Hotel Beauvan,PERSON,1
massachusetts,massachusetts,GPE,1
Edmonia Lewis,Edmonia Lewis,PERSON,1
Capo de monte,Capo de monte,PERSON,1
Julius Ceaser,Julius Ceaser,PERSON,1
Michel Angelo,Michel Angelo,PERSON,1
Cicero Cicero,Cicero Cicero,PERSON,1
white sails &,white sails &,ORG,1
J.C. Fletcher,J.C. Fletcher,ORG,1
Mrs Shankland,Mrs Shankland,PERSON,1
Sakar Sakkara,Sakar Sakkara,PERSON,1
Vicchio Borgo,Vicchio Borgo,PERSON,1
Theodore Merz,Theodore Merz,PERSON,1
Belgrave Road,Belgrave Road,PERSON,1
Aaron Anthony,Aaron Anthony,PERSON,1
Willie Bryant,Willie Bryant,PERSON,1
S. T. Pickard,S. T. Pickard,PERSON,1
Robert Purvis,Robert Purvis,PERSON,1
Lizzie Foster,Lizzie Foster,PERSON,1
H. O. Wagoner,H. O. Wagoner,PERSON,1
Newhampshere,Newhampshere,GPE,1
a Mr Rawlins,a Mr Rawlins,PERSON,1
Alex Dumas -,Alex Dumas -,PERSON,1
Town of Pisa,Town of Pisa,ORG,1
Sarah Remond,Sarah Remond,PERSON,1
Tres Maurais,Tres Maurais,PERSON,1
Gidion Pitts,Gidion Pitts,ORG,1
King Humbert,King Humbert,PERSON,1
Michelangelo,Michelangelo,PERSON,1
Lausanne - a,Lausanne - a,ORG,1
Stoke Bishop,Stoke Bishop,PERSON,1
Deborah Webb,Deborah Webb,PERSON,1
Thomas Henry,Thomas Henry,PERSON,1
Jacksonville,Jacksonville,GPE,1
M. W. Greene,M. W. Greene,PERSON,1
Philadelphia,Philadelphia,GPE,1
Edward Sears,Edward Sears,PERSON,1
C. H Hotel ^,C. H Hotel ^,ORG,1
Baltimore Ma,Baltimore Ma,PERSON,1
Mrs Hipwell,Mrs Hipwell,PERSON,1
Gates Gates,Gates Gates,PERSON,1
San Martino,San Martino,GPE,1
Herculanium,Herculanium,ORG,1
Brotherhood,Brotherhood,ORG,1
Carao Cairo,Carao Cairo,PERSON,1
U.P. Church,U.P. Church,ORG,2
Arch Bishop,Arch Bishop,PERSON,1
Tamboreenes,Tamboreenes,ORG,1
Presbyteran,Presbyteran,GPE,1
Beni Hassen,Beni Hassen,ORG,1
Mrs Barrett,Mrs Barrett,PERSON,1
Thomas Auld,Thomas Auld,PERSON,1
Amanda Auld,Amanda Auld,ORG,1
Fells Point,Fells Point,ORG,1
J. H. Lewis,J. H. Lewis,PERSON,1
Washington,Washington,GPE,1
Marseilles,Marseilles,GPE,2
Took Helen,Took Helen,PERSON,1
Chateau D',Chateau D',ORG,1
St. Peters,St. Peters,ORG,1
U.P. Church,U.P Church,ORG,1
Gutheridge,Gutheridge,PERSON,1
Hileopolis,Hileopolis,ORG,1
Richardson,Richardson,PERSON,1
Dahhabezez,Dahhabezez,GPE,1
Alexandria,Alexandria,PERSON,1
Brinkhouse,Brinkhouse,ORG,1
"P.B.
Worde","P.B.
Worde",ORG,1
Despotesum,Despotesum,GPE,1
Florence -,Florence -,GPE,1
John Adams,John Adams,PERSON,1
Landslides,Landslides,PERSON,1
Fanny Byse,Fanny Byse,PERSON,1
John Smith,John Smith,PERSON,1
St. Denver,St. Denver,GPE,1
Rochester,Rochester,GPE,1
Liverpool,Liverpool,GPE,6
Cathedral,Cathedral,ORG,1
St. Neots,St. Neots,GPE,1
Gentleman,Gentleman,PERSON,2
Cemetarie,Cemetarie,PERSON,1
Chandeler,Chandeler,ORG,1
Landscape,Landscape,ORG,1
St. Peters,St Peters,PERSON,1
Bethlehem,Bethlehem,GPE,1
St. Peters,St. Peter,GPE,1
Cardinals,Cardinals,ORG,1
Appenines,Appenines,ORG,3
Mrs Davis,Mrs Davis,PERSON,2
Baromitre,Baromitre,ORG,1
Australia,Australia,GPE,1
Dahabiyeh,Dahabiyeh,PERSON,1
Board the,Board the,ORG,1
Acropolis,Acropolis,PERSON,1
Vesuvious,Vesuvious,PERSON,1
Barberina,Barberina,GPE,1
Mrs Geoti,Mrs Geoti,PERSON,1
Carriages,Carriages,ORG,1
San Marco,San Marco,PERSON,1
Desdemoni,Desdemoni,PERSON,1
Newcastle,Newcastle,GPE,2
Paul Minn,Paul Minn,PERSON,1
Mrs Lucas,Mrs Lucas,PERSON,1
Baltimore Ma,Baltimore,GPE,4
Hugh Auld,Hugh Auld,PERSON,1
Spiceland,Spiceland,ORG,1
Cleveland,Cleveland,GPE,1
Chandeler,Chandler,PERSON,3
Emerison,Emerison,PERSON,1
Romanism,Romanism,ORG,1
Hospital,Hospital,ORG,1
St Andre,St Andre,PERSON,1
Palazzor,Palazzor,ORG,1
Caroline,Caroline,ORG,2
Pozzuoli,Pozzuoli,ORG,1
Prisoner,Prisoner,PERSON,1
Fletcher,Fletcher,PERSON,3
Bullseye,Bullseye,GPE,1
Anderson,Anderson,PERSON,1
Khedeive,Khedeive,ORG,1
Dyonesus,Dyonesus,PERSON,1
St Petro,St Petro,ORG,1
Douglass,Douglass,PERSON,1
Florence -,Florence,GPE,9
Gondolas,Gondolas,PERSON,1
Stantons,Stantons,ORG,1
H. Allen,H. Allen,PERSON,1
Trinidad,Trinidad,GPE,1
Scotland,Scotland,GPE,1
Lucretia,Lucretia,GPE,1
Daughter,Daughter,PERSON,1
Colorado,Colorado,GPE,2
Portland,Portland,GPE,1
Arapahoe,Arapahoe,PERSON,1
Avondale,Avondale,ORG,1
Wayland,Wayland,GPE,1
England,England,GPE,3
Concord,Concord,GPE,1
Ireland,Ireland,GPE,1
america,america,GPE,3
Eastern,Eastern,ORG,2
Wagoner,Wagoner,PERSON,2
Avignon,Avignon,ORG,3
Varenan,Varenan,GPE,1
Mentone,Mentone,ORG,1
Science,Science,ORG,1
St Luke,St Luke,PERSON,1
Putnams,Putnams,PERSON,2
Vecchio,Vecchio,GPE,1
Elleson,Elleson,PERSON,1
Charles,Charles,PERSON,1
Serento,Serento,GPE,1
John B.,John B.,PERSON,1
U.R.Ch.,U.R.Ch.,GPE,1
Puteoli,Puteoli,PERSON,1
Donkees,Donkees,PERSON,1
Lewis -,Lewis -,PERSON,1
Abraham,Abraham,PERSON,2
Bondage,Bondage,ORG,1
Messina,Messina,PERSON,1
Carigio,Carigio,PERSON,1
Ismalia,Ismalia,PERSON,1
Ismalia,Ismaila,PERSON,1
Mosques,Mosques,PERSON,2
Mummies,Mummies,ORG,1
Rosetta,Rosetta,ORG,1
Charles,Charley,PERSON,1
Gardens,Gardens,PERSON,1
Memphis,Memphis,GPE,1
Sakkara,Sakkara,PERSON,1
theatre,theatre,PERSON,1
Library,Library,PERSON,1
mountan,mountan,ORG,1
Bigelow,Bigelow,PERSON,1
Bedford,Bedford,GPE,1
Glasgow,Glasgow,PERSON,1
Bristol,Bristol,GPE,1
Mr & El,Mr & El,ORG,1
Florida,Florida,GPE,1
Chesnut,Chesnut,PERSON,1
Monroe,Monroe,PERSON,1
London,London,GPE,6
Dejean,Dejean,GPE,1
Church,Church,ORG,1
France,France,GPE,1
Genova,Genova,GPE,1
Trajen,Trajen,GPE,1
martha,martha,PERSON,1
Putnams,Putnam,ORG,2
Remond,Remond,PERSON,2
Naples,Naples,GPE,8
Montin,Montin,PERSON,1
Palace,Palace,GPE,2
Pompei,Pompei,ORG,1
Virgil,Virgil,ORG,1
Brutus,Brutus,PERSON,1
Portia,Portia,PERSON,1
Balaam,Balaam,GPE,1
Amalfi,Amalfi,ORG,4
Murray,Murray,PERSON,2
Greece,Greece,GPE,3
Joseph,Joseph,PERSON,2
Sicily,Sicily,PERSON,1
Borden,Borden,PERSON,1
Goshen,Goshen,GPE,1
Bazars,Bazars,GPE,1
Cheops,Cheops,ORG,1
Conner,Conner,PERSON,1
Crofts,Crofts,ORG,1
Divine,Divine,ORG,1
Turban,Turban,ORG,1
Arabec,Arabec,ORG,1
Grotto,Grotto,PERSON,2
Donkey,Donkey,ORG,1
Ramses,Ramses,ORG,1
Athens,Athens,GPE,2
Sparta,Sparta,GPE,1
Eastern,Easter,PERSON,1
Prayes,Prayes,PERSON,1
Stallo,Stallo,PERSON,2
Strand,Strand,GPE,1
Venice,Venice,GPE,7
Lucern,Lucern,ORG,2
Othelo,Othelo,PERSON,1
Tilton,Tilton,PERSON,1
Thomas,Thomas,PERSON,3
Dublin,Dublin,GPE,1
Boston,Boston,GPE,1
Bishop,Bishop,ORG,1
Denver,Denver,GPE,1
Isaiah,Isaiah,PERSON,1
Helen,Helen,PERSON,16
Sandy,Sandy,ORG,1
Docks,Docks,ORG,2
Blood,Blood,ORG,1
Paris,Paris,GPE,4
Steam,Steam,GPE,1
Bryan,Bryan,PERSON,1
Prots,Prots,ORG,1
Soane,Soane,ORG,1
Jesus,Jesus,PERSON,5
Tuesd,Tuesd,PERSON,1
Borgo,Borgo,PERSON,1
Hotel,Hotel,ORG,2
Capri,Capri,ORG,1
Lewis,Lewis,PERSON,2
Jones,Jones,PERSON,3
Egypt,Egypt,GPE,9
Ormuz,Ormuz,PERSON,2
Italy,Italy,GPE,4
Febry,Febry,PERSON,5
Cairo,Cairo,GPE,9
Medes,Medes,ORG,1
Deity,Deity,ORG,1
Coron,Coron,ORG,1
Coran,Coran,ORG,1
Niles,Niles,ORG,1
Zizag,Zizag,PERSON,1
Plato,Plato,PERSON,1
Crime,Crime,GPE,1
Clark,Clark,PERSON,1
Marsh,Marsh,PERSON,1
Queen,Queen,PERSON,1
Duomo,Duomo,ORG,1
Milan,Milan,GPE,1
milan,milan,GPE,1
Eagle,Eagle,ORG,1
Spain,Spain,GPE,1
W. I.,W. I.,PERSON,1
Clyde,Clyde,GPE,1
Grace,Grace,PERSON,1
Roger,Roger,PERSON,1
Grand,Grand,ORG,1
Onley,Onley,GPE,1
Lyon,Lyon,PERSON,1
Rome,Rome,GPE,13
Pisa,Pisa,PERSON,1
meek,meek,PERSON,1
Pope,Pope,PERSON,1
Janu,Janu,PERSON,1
Ind.,Ind.,GPE,1
Rich,Rich,PERSON,1
Paul,Paul,PERSON,4
Bell,Bell,ORG,1
Said,Said,PERSON,1
W.G.,W.G.,ORG,1
Arno,Arno,ORG,1
Doge,Doge,PERSON,1
Chas,Chas,PERSON,1
Tyne,Tyne,PERSON,2
Char,Char,PERSON,1
Hugh,Hugh,GPE,1
Ohio,Ohio,GPE,1
W.P.,W.P.,ORG,1
Art,Art,GPE,1
ref,ref,ORG,1
Ada,Ada,PERSON,1
Agg,Agg,PERSON,1
fry,fry,PERSON,1
