source,target,weight,start,end
E001,E003,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E001,E022,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E001,E085,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E002,E026,1,1886-09-19T00:00:00,1886-09-19T00:00:00
E002,E039,1,1886-09-19T00:00:00,1886-09-19T00:00:00
E002,E080,1,1886-09-19T00:00:00,1886-09-19T00:00:00
E003,E022,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E003,E085,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E004,E012,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E018,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E032,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E035,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E039,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E050,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E059,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E080,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E004,E081,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E005,E015,1,1886-09-20T00:00:00,1886-09-20T00:00:00
E005,E023,1,1886-09-20T00:00:00,1886-09-20T00:00:00
E005,E039,1,1886-09-20T00:00:00,1886-09-20T00:00:00
E006,E024,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E006,E034,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E006,E039,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E006,E046,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E006,E068,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E006,E078,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E007,E012,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E013,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E020,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E024,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E026,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E032,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E039,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E007,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E008,E032,1,1886-09-17T00:00:00,1886-09-17T00:00:00
E008,E048,1,1886-09-17T00:00:00,1886-09-17T00:00:00
E008,E071,1,1886-09-17T00:00:00,1886-09-17T00:00:00
E009,E010,1,1886-10-01T00:00:00,1886-10-01T00:00:00
