entity_id,name,category,wikidata,confidence,total_count,Unnamed: 6,Unnamed: 7
E001,Windsor Castle,ORG,Q42646,High,1,,
E002,the International Series,EVENT,,Low,1,,
E003,the Walker Art Gallery,ORG,Q1536471,High,1,,
E004,Henry Herbert,PERSON,Q335845,High,1,,
E005,the China Missionary,PERSON,,Low,1,,
E006,Catherine of Aragon,PERSON,Q162819,High,1,,
E007,Grand Central Hotel,GPE,,High,1,,
E008,Washington Monument,GPE,Q178114,High,1,,
E009,St. Neots,GPE,Q1018225,High,3,,
E010,Yorkshire,GPE,Q163,High,3,,
E011,St. George's Hall,GPE,Q1073341,High,2,,
E012,the United States of America,GPE,Q30,High,12,,
E013,SS City of Rome,SHIP,Q3006894,High,3,,
E014,George Stephenson,PERSON,Q133614,Medium,1,,
E015,Liverpool Lime Street Station,GPE,Q801113,High,4,,
E016,Marie Antoinette,PERSON,Q47365,High,1,,
E017,"Holy Sepulchre, Cambridge (Round Church)",GPE,Q12060465,Medium,1,,
E018,Indian Mutiny of 1857,EVENT,Q129864,High,1,,
E019,Pemberton Place,GPE,Q7161890,Low,1,,
E020,Ludmilla Assing,PERSON,Q90885,High,1,,
E021,"Isora
Schwartz",PERSON,,High,1,,
E022,Washington,GPE,Q1223,High,1,,
E023,Mount Washington,GPE,Q55744609,Low,1,,
E024,London,GPE,Q84,High,8,,
E025,Liverpool,GPE,Q24826,High,11,,
E026,Henry Wayland,PERSON,,High,7,,
E027,Richard Grant,PERSON,,High,1,,
E028,Great Britain,GPE,Q23666,High,2,,
E029,Milford Haven,GPE,Q991055,High,1,,
E030,Prince Albert,PERSON,Q152245,High,1,,
E031,Hugh Stowell Brown,PERSON,Q5932763,Medium,3,,
E032,Chandler,PERSON,,High,11,,
E033,Sankaty Head Tower,GPE,Q7418689,High,1,,
E034,Cambridge,GPE,Q350,High,3,,
E035,Portsmouth,GPE,Q72259,High,1,,
E036,Cobh (Queenstown),GPE,Q733093,High,3,,
E037,Birkenhead,GPE,Q746718,High,1,,
E038,Eaton Hall,GPE,Q3046650,High,1,,
E039,Frederick Douglass,PERSON,Q215562,High,30,,split
E040,Amsterdam,GPE,Q727,High,1,,
E041,Rotterdam,GPE,Q34370,High,1,,
E042,Palestine,GPE,Q219060,High,1,,
E043,Nantucket,GPE,Q49149,High,1,,
E044,Napolean Bonaparte,PERSON,Q517,High,1,,
E045,Peterborough,GPE,Q172438,High,1,,
E046,Kimbolton,GPE,Q3784140,Medium,1,,
E047,New York,GPE,Q1384,High,2,,
E048,Morrison,PERSON,,High,1,,
E049,Portland,GPE,Q6106,High,1,,
E050,Calcutta,GPE,Q1348,High,1,,
E051,Anglesey,GPE,Q67283698,High,1,,
E052,Snaefell,SHIP,,Medium,1,,
E053,Florence,GPE,Q2044,High,1,,
E054,Robert Burns,PERSON,Q81960,Medium,1,,
E055,Oliver Cromwell,PERSON,Q44279,Medium,1,,
E056,Henry VI of England,PERSON,Q160337,Medium,1,,
E057,Wesleyan Methodism,ORG,Q15633792,High,2,,
E058,George Brelock,PERSON,,High,2,,
E059,England,GPE,Q21,High,6,,
E060,Ireland,GPE,Q27,High,3,,
E061,Vincent,PERSON,,High,1,,
E062,Snowdon,GPE,Q217142,High,1,,
E063,Glasgow,GPE,Q4093,High,1,,
E064,Belgium,GPE,Q31,High,1,,
E065,Rawlins,PERSON,,High,1,,
E066,Chester,GPE,Q170263,High,2,,
E067,Chicago,GPE,Q1297,High,1,,
E068,Buckden,GPE,Q1951638,Medium,2,,
E069,Canada,GPE,Q16,High,1,,
E070,Naples,GPE,Q2634,High,2,,
E071,Oregon,GPE,Q824,High,1,,
E072,Groves,PERSON,,High,1,,
E073,Kerry,GPE,Q184469,High,3,,
E074,Nellie,PERSON,,Low,2,,
E075,Venice,GPE,Q641,High,2,,
E076,Norway,GPE,Q20,High,1,,
E077,Vienna,GPE,Q1741,High,1,,
E078,Crofts,PERSON,,High,4,,
E079,Egypt,GPE,Q79,High,1,,
E080,China,GPE,Q148,High,2,,
E081,Munro,PERSON,,Medium,1,,
E082,Colby,PERSON,,Medium,1,,
E083,John Adams,PERSON,Q11806,Low,1,,
E084,Italy,GPE,Q38,High,1,,
E085,Oakey,PERSON,,Medium,1,,
E086,Mason,PERSON,,High,1,,
E087,Ohio,GPE,Q1397,High,2,,
E088,Trinity College,GPE,Q332342,High,2,,
E089,Gonville and Caius College,GPE,Q863940,High,1,,
E090,St John's College,GPE,Q691283,High,1,,
E091,King's College,GPE,Q924289,High,2,,
E092,Bridge of Sighs (Cambridge),GPE,Q3397409,High,1,,
