canonical_name,original_name,label,count
"Windsor castle, & of castle & abbey","Windsor castle, & of castle & abbey",ORG,1
"Royal carriages, &
royal harness","Royal carriages, &
royal harness",ORG,1
"the Library, & fell asleep","the Library, & fell asleep",ORG,1
the International Series,the International Series,EVENT,1
the Walker Art Gallery,the Walker Art Gallery,ORG,1
the Earl of Carnarvon,the Earl of Carnarvon,ORG,1
gloves & boots silver,gloves & boots silver,ORG,1
the China Missionary,the China Missionary,ORG,1
Catherine of Arragon,Catherine of Arragon,PERSON,1
Grand Central Hotel,Grand Central Hotel,ORG,1
Washington Monument,Washington Monument,ORG,1
& envelopes & photo,& envelopes & photo,ORG,1
the Cross St. Neots,the Cross St. Neots,ORG,1
"Yorkshire, & first","Yorkshire, & first",ORG,1
"St. George’s
Hall","St. George’s
Hall",GPE,1
"St. George’s
Hall",St. George’s Hall,GPE,1
the United States,the United States,GPE,1
the City of Rome,the City of Rome,GPE,2
Geo Stephenson’s,Geo Stephenson’s,PERSON,1
Lime St. Station,Lime St. Station,ORG,1
Library & Museum,Library & Museum,ORG,1
Maria Antoinette,Maria Antoinette,PERSON,1
the Round Church,the Round Church,ORG,1
the Chinese war,the Chinese war,EVENT,1
Pemberton Place,Pemberton Place,ORG,1
"Miss Assing, &","Miss Assing, &",ORG,1
"Isora
Schwartz","Isora
Schwartz",ORG,1
Criminal Court,Criminal Court,ORG,1
St. Washington,St. Washington,GPE,1
London & going,London & going,ORG,1
Left Liverpool,Left Liverpool,PERSON,1
P.M. Frederick,P.M. Frederick,PERSON,1
Trinity Chapel,Trinity Chapel,ORG,1
Henry Wayland,Henry Wayland,PERSON,1
Richard Grant,Richard Grant,PERSON,1
Great Britain,Great Britain,GPE,2
Yankee Doodle,Yankee Doodle,PERSON,1
Milford Haven,Milford Haven,GPE,1
Prince Albert,Prince Albert,PERSON,1
Stowell Brown,Stowell Brown,PERSON,1
Abercromby Sq,Abercromby Sq,PERSON,1
Great Eastern,Great Eastern,ORG,1
Mrs Chandler,Mrs Chandler,PERSON,2
Sankaty Head,Sankaty Head,PERSON,1
Miniatures &,Miniatures &,ORG,1
Englishman &,Englishman &,ORG,1
Kings Chapel,Kings Chapel,ORG,1
Frauenstein,Frauenstein,PERSON,1
Johnny Bull,Johnny Bull,PERSON,1
Pier & back,Pier & back,ORG,1
Cambridge &,Cambridge &,ORG,1
Englishman &,Englishman,PERSON,1
Porchester,Porchester,PERSON,3
Portsmouth,Portsmouth,GPE,1
Queenstown,Queenstown,GPE,3
Birkenhead,Birkenhead,PERSON,1
Nelson St.,Nelson St.,PERSON,1
Clayton Sq,Clayton Sq,PERSON,1
Church St.,Church St.,ORG,1
"Lime
St. &","Lime
St. &",ORG,1
Eaton Hall,Eaton Hall,PERSON,1
"Louis
16th","Louis
16th",PERSON,1
Frederick,Frederick,PERSON,13
Amsterdam,Amsterdam,GPE,1
Rotterdam,Rotterdam,PERSON,1
Palestine,Palestine,GPE,1
Chandler,Chandlers,ORG,1
Liverpool,Liverpool,GPE,10
Yorkshire,Yorkshire,PERSON,2
Nantucket,Nantucket,GPE,1
Cathedral,Cathedral,ORG,1
Bonaparte,Bonaparte,PERSON,1
Henry 6th,Henry 6th,PERSON,1
St. Neots,St. Neots,GPE,2
Peterboro,Peterboro,ORG,1
Kimbolton,Kimbolton,PERSON,1
Cambridge &,Cambridge,GPE,2
St. Johns,St. Johns,GPE,1
New York,New York,GPE,1
Douglass,Douglass,GPE,2
Chandler,Chandler,PERSON,7
Morrison,Morrison,PERSON,1
Portland,Portland,GPE,2
Calcutta,Calcutta,ORG,1
Anglesee,Anglesee,ORG,1
Snaefell,Snaefell,PERSON,1
Bold St.,Bold St.,PERSON,1
Florence,Florence,ORG,1
Cromwell,Cromwell,ORG,1
